"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured",Name,Description,Category,Keywords,"Post types",Mode,Align,"Icon Type",Icon,"Icon background","Icon foreground","Icon src","Render template","Render callback","Enqueue style","Enqueue script","Enqueue assets",Align,"Align arguments",Anchor,"Inner Block","Align Content","Align content",Mode,Multiple,"Form name","Field groups",Actions,"Field groups locations rules","Form element","Form attributes","Fields class","Submit button","Submit value","Submit button","Submit spinner",Honeypot,Kses,Uploader,"Field element","Label placement","Instruction placement","Override Form render","HTML Before render","HTML Form render","HTML After render","Hide general error","Hide successful re-validation","Hide confirmation on exit","Fields errors position","Fields errors class",Redirection,"Hide form","Success message","Success wrapper HTML",Field,Fields,"Get Field","Get Option",Request,"Query Var","Form Settings","Action Output: Post","Action Output: Term","Action Output: User","Action Output: Email","Current Post","Current Term","Current User","Current Author","Menu slug","Menu title",Capability,Position,"Parent slug","Icon url",Redirect,"Post ID",Autoload,"Update button","Updated Message",Name,Description,Hierarchical,Supports,Taxonomies,Public,"Exclude from search","Publicly queryable","Can export","Delete with user","Menu position","Menu icon","Show UI","Show in menu","Show in menu (text)","Show in nav menus","Show in admin bar",Template,"Has archive",Slug,"Posts per page","Order by",Order,Template,Rewrite,"Rewrite Arguments","Rewrite Arguments","Archive Page","Posts per page","Order by",Order,Labels,"Capability type",Capabilities,"Map meta cap","Show in rest","Rest base","Rest controller class",Name,Description,Hierarchical,"Post types",Public,"Publicly queryable","Update count callback","Meta box callback","Meta box callback",Sort,"Show UI","Show in menu","Show in nav menus","Show tagcloud","Show in quick edit","Show admin column",Template,"Posts per page","Order by",Order,Rewrite,"Rewrite Arguments","Rewrite Arguments","Terms per page","Order by",Order,Labels,Capabilities,"Show in rest","Rest base","Rest controller class","Service Hero Title","Service Hero Subtitle","Service Hero Intro","Offerings Heading","CTA Heading","CTA Subheading","CTA Button Text","CTA Button Link","Detailed Process","Client Name","Project Year","Project URL","The Challenge","Our Solution","Project Gallery","Project Types",Industries
15,https://casestudy-labs.com/industry/cannabis/,Cannabis,cannabis,"Navigate the complex cannabis market with expert branding and marketing. We build compliant, compelling brands that stand out on the dispensary shelf.",0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,https://casestudy-labs.com/industry/healthcare/,Healthcare,healthcare,"Build patient trust and grow your practice with specialized Healthcare marketing. We create professional, compassionate brand experiences for clinics and health tech.",0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,https://casestudy-labs.com/industry/wellness/,Wellness,wellness,"Connect with a health-conscious audience through authentic Wellness branding. We help brands in fitness, nutrition, and mindfulness build loyal communities.",0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,https://casestudy-labs.com/industry/beauty/,Beauty,beauty,"Create an aspirational beauty brand that captivates and inspires. We specialize in elegant branding, packaging, and marketing for the competitive beauty industry.",0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,https://casestudy-labs.com/industry/fashion/,Fashion,fashion,"Define your clothing line's identity with iconic Fashion branding. From lookbooks to e-commerce, we create stylish marketing that drives desire and sales.",0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,https://casestudy-labs.com/industry/tech-startup/,"Tech Startup",tech-startup,"Fuel your growth with branding that attracts users and investors. We help Tech Startups define their identity, design their UI/UX, and go to market with confidence.",0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,https://casestudy-labs.com/industry/restaurant/,Restaurant,restaurant,"Make your restaurant the talk of the town. We cook up delicious branding, menu design, and social media marketing that brings hungry customers to your door.",0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,https://casestudy-labs.com/industry/retail/,Retail,retail,"Drive foot traffic and online sales with powerful Retail branding. We create engaging brand experiences from in-store signage to e-commerce websites.",0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,https://casestudy-labs.com/industry/non-profit/,Non-profit,non-profit,"Amplify your mission and inspire action with compelling Non-profit marketing. We help organizations connect with donors and volunteers through powerful storytelling.",0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,https://casestudy-labs.com/industry/education/,Education,education,"Attract more students with professional branding for Education. We help schools, universities, and EdTech companies build credibility and drive enrollment.",0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
